Code_commune_INSEE;Nom_commune;Code_postal
08487;VIREUX WALLERAND;08320
08489;VONCQ;08400
08490;VOUZIERS;08400
08491;VRIGNE AUX BOIS;08350
08492;VRIGNE MEUSE;08350
08499;WASIGNY;08270
08502;YONCQ;08210
09008;ALOS;09200
09011;ANTRAS;09800
09015;ARIGNAC;09400
09016;ARNAVE;09400
09021;ARTIX;09120
09029;AULUS LES BAINS;09140
09040;LA BASTIDE DE LORDAT;09700
09046;BEDEILLE;09230
09056;BEZAC;09100
09059;BONAC IRAZEIN;09800
09061;LES BORDES SUR ARIZE;09350
09062;BORDES UCHENTEIN;09800
09064;BOUAN;09310
09068;BURRET;09000
09077;CAPOULET ET JUNAC;09400
09078;CARCANIERES;09460
09079;CARLA BAYLE;09130
09083;CASTERAS;09130
09092;CAZENAVE SERRES ET ALLENS;09400
09096;CHATEAU VERDUN;09310
09098;CONTRAZY;09230
09100;COUFLENS;09140
09100;COUFLENS;09140
09107;DUN;09600
09111;ENGOMER;09800
09116;ESCOSSE;09100
09118;ESPLAS DE SEROU;09420
09121;FERRIERES SUR ARIEGE;09000
09122;FOIX;09000
09126;FREYCHENET;09300
09127;GABRE;09290
09132;GAUDIES;09700
09133;GENAT;09400
09134;GESTIES;09220
09137;GUDAS;09120
09138;L HERM;09000
09146;JUSTINIAC;09700
09148;LACAVE;09160
09152;LAPEGE;09400
09153;LAPENNE;09500
09157;LAROQUE D OLMES;09600
09160;LAVELANET;09300
09170;LISSAC;09700
09180;MANSES;09500
09185;MAZERES;09270
09187;MERCENAC;09160
09188;MERCUS GARRABET;09400
09197;MONTAILLOU;09110
09201;MONTEGUT EN COUSERANS;09200
09208;MONTGAUCH;09160
09210;MONTOULIEU;09000
09215;NALZEN;09300
09221;ORNOLAC USSAT LES BAINS;09400
09222;ORUS;09220
09230;LE PLA;09460
09231;LE PORT;09320
09233;PRADETTES;09600
09236;PRAYOLS;09000
09242;RAISSAC;09300
09250;ROQUEFORT LES CASCADES;09300
09252;ROUZE;09460
09257;STE CROIX VOLVESTRE;09230
09259;ST FELIX DE TOURNEGAT;09500
09264;ST JEAN DE VERGES;09000
09275;ST QUIRC;09700
09276;ST VICTOR ROUZAUD;09100
09285;SEIX;09140
09287;SENCONAC;09250
09289;LORP SENTARAILLE;09190
09295;SIGUER;09220
09315;TREMOULET;09700
09318;UNAC;09250
09319;UNZENT;09100
09322;USTOU;09140
09324;VARILHES;09120
09330;VERNAUX;09250
10002;AILLEVILLE;10200
10003;AIX VILLEMAUR PALIS;10160
10003;AIX VILLEMAUR PALIS;10190
10010;ARREMBECOURT;10330
10020;AVANT LES MARCILLY;10400
10021;AVANT LES RAMERUPT;10240
10026;BAILLY LE FRANC;10330
10033;BAR SUR AUBE;10200
10035;BAYEL;10310
10037;BERCENAY EN OTHE;10190
10047;BLIGNICOURT;10500
10054;BOURDENAY;10290
10059;BRAUX;10500
10063;BRIENNE LA VIEILLE;10500
10066;BUCEY EN OTHE;10190
10067;BUCHERES;10800
10077;CHAMPIGNY SUR AUBE;10700
10078;CHAMP SUR BARSE;10140
10089;CHATRES;10510
10093;CHAUMESNIL;10500
10098;CHESLEY;10210
10100;CLEREY;10390
10112;COUSSEGREY;10210
10124;DIERREY ST JULIEN;10190
10127;DOMMARTIN LE COQ;10240
10133;EAUX PUISEAUX;10130
10134;ECHEMINES;10350
10135;ECLANCE;10200
10138;EPAGNE;10500
10143;ETOURVY;10210
10146;FAY LES MARCILLY;10290
10147;FAYS LA CHAPELLE;10320
10148;FERREUX QUINCEY;10400
10150;FONTAINE;10200
10151;FONTAINE LES GRES;10280
10157;LA FOSSE CORDUAN;10100
10158;FOUCHERES;10260
10161;FRESNAY;10200
10186;LAINES AUX BOIS;10120
10187;LANDREVILLE;10110
10190;LAUBRESSEL;10270
10191;LAVAU;10150
10203;LONGCHAMP SUR AUJON;10310
10218;MAISONS LES CHAOURCE;10210
10220;MAIZIERES LA GRANDE PAROISSE;10510
10220;MAIZIERES LA GRANDE PAROISSE;10510
10222;MARAYE EN OTHE;10160
10225;MARNAY SUR SEINE;10400
10226;MAROLLES LES BAILLY;10110
10229;MAUPAS;10320
10242;MEURVILLE;10200
10247;MONTFEY;10130
10248;MONTGUEUX;10300
10254;MONTPOTHIER;10400
10258;MORVILLIERS;10500
10260;MOUSSEY;10800
10263;NEUVILLE SUR VANNE;10190
10287;PINEY;10220
10297;PONT STE MARIE;10150
10310;PUITS ET NUISEMENT;10140
10314;RAMERUPT;10240
10314;RAMERUPT;10240
10321;LA RIVIERE DE CORPS;10440
10334;ST AUBIN;10400
10337;ST CHRISTOPHE DODINICOURT;10500
10349;ST LYE;10180
10351;ST MARTIN DE BOSSENAY;10100
10354;ST NABORD SUR AUBE;10700
10355;ST NICOLAS LA CHAPELLE;10400
10362;STE SAVINE;10300
10365;SALON;10700
10372;SOULAINES DHUYS;10200
10374;SPOY;10200
10375;THENNELIERES;10410
10378;THORS;10200
10386;TROUANS;10700
10387;TROYES;10000
10395;VANLAY;10210
10408;VIAPRES LE PETIT;10380
10414;VILLELOUP;10350
10422;VILLENEUVE AU CHEMIN;10130
10434;VILLY LE BOIS;10800
10437;VIREY SOUS BAR;10260
10440;VOIGNY;10200
10441;VOSNON;10130
10445;YEVRES LE PETIT;10500
11008;ALET LES BAINS;11580
11011;ARAGON;11600
11021;AXAT;11140
11038;BESSEDE DE SAULT;11140
11044;BOUISSE;11330
11048;BOUTENAC;11200
11049;BRAM;11150
11052;BROUSSES ET VILLARET;11390
11053;BRUGAIROLLES;11300
11055;BUGARACH;11190
11062;CAMPAGNA DE SAULT;11140
11063;CAMPAGNE SUR AUDE;11260
11069;CARCASSONNE;11000
11070;CARLIPA;11170
11085;CAVANAC;11570
11086;CAVES;11510
11108;LA COURTETE;11240
11111;CRUSCADES;11200
11117;DAVEJEAN;11330
11118;DERNACUEILLETTE;11330
11127;ESCOULOUBRE;11140
11129;ESPERAZA;11260
11131;VAL DU FABY;11260
11133;FAJAC EN VAL;11220
11140;FERRALS LES CORBIERES;11200
11145;FLEURY;11560
11145;FLEURY;11560
11153;LA FORCE;11270
11160;GALINAGUES;11140
11164;GINESTAS;11120
11167;GRAMAZIE;11240
11174;LES ILHES;11380
11175;ISSEL;11400
11176;JONQUIERES;11220
11177;JOUCOU;11140
11178;LABASTIDE D ANJOU;11320
11187;LANET;11330
11190;LA REDORTE;11700
11191;LAROQUE DE FA;11330
11196;LAURAC;11270
11198;LAURE MINERVOIS;11800
11202;LEUCATE;11370
11207;LOUPIA;11300
11209;LUC SUR AUDE;11190
11211;MAGRIE;11300
11213;MAISONS;11330
11215;MALVES EN MINERVOIS;11600
11223;MAS DES COURS;11570
11228;MAZEROLLES DU RAZES;11240
11230;MERIAL;11140
11232;MIRAVAL CABARDES;11380
11238;MOLLEVILLE;11410
11239;MONTAURIOL;11410
11240;MONTAZELS;11190
11241;MONTBRUN DES CORBIERES;11700
11247;MONTHAUT;11240
11259;MOUSSOULENS;11170
11264;NEVIAN;11200
11266;PORT LA NOUVELLE;11210
11280;PEPIEUX;11700
11282;PEYREFITTE DU RAZES;11230
11283;PEYREFITTE SUR L HERS;11420
11287;PEYROLLES;11190
11289;PIEUSSE;11300
11292;LA POMAREDE;11400
11315;RIEUX MINERVOIS;11160
11316;RIVEL;11230
11318;ROQUECOURBE MINERVOIS;11700
11324;ROUBIA;11200
11325;ROUFFIAC D AUDE;11250
11326;ROUFFIAC DES CORBIERES;11350
11328;ROUTIER;11240
11341;ST FERRIOL;11500
11347;ST JULIA DE BEC;11500
11348;ST JULIEN DE BRIOLA;11270
11364;ST POLYCARPE;11300
11366;STE VALIERE;11120
